County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
55079,"Milwaukee County, Wisconsin",C3334,"Milwaukee-Waukesha-West Allis, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55083,"Oconto County, Wisconsin",C2458,"Green Bay, WI MSA",CS267,"Green Bay-Shawano, WI CSA"
55087,"Outagamie County, Wisconsin",C1154,"Appleton, WI MSA",CS118,"Appleton-Oshkosh-Neenah, WI CSA"
55089,"Ozaukee County, Wisconsin",C3334,"Milwaukee-Waukesha-West Allis, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55093,"Pierce County, Wisconsin",C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",CS378,"Minneapolis-St. Paul, MN-WI CSA"
55097,"Portage County, Wisconsin",C4462,"Stevens Point, WI MicroSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
55101,"Racine County, Wisconsin",C3954,"Racine, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55105,"Rock County, Wisconsin",C2750,"Janesville-Beloit, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55109,"St. Croix County, Wisconsin",C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",CS378,"Minneapolis-St. Paul, MN-WI CSA"
55111,"Sauk County, Wisconsin",C1266,"Baraboo, WI MicroSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55115,"Shawano County, Wisconsin",C4302,"Shawano, WI MicroSA",CS267,"Green Bay-Shawano, WI CSA"
55117,"Sheboygan County, Wisconsin",C4310,"Sheboygan, WI MSA",,
55127,"Walworth County, Wisconsin",C4858,"Whitewater-Elkhorn, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55131,"Washington County, Wisconsin",C3334,"Milwaukee-Waukesha-West Allis, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55133,"Waukesha County, Wisconsin",C3334,"Milwaukee-Waukesha-West Allis, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55139,"Winnebago County, Wisconsin",C3678,"Oshkosh-Neenah, WI MSA",CS118,"Appleton-Oshkosh-Neenah, WI CSA"
55141,"Wood County, Wisconsin",C4922,"Wisconsin Rapids-Marshfield, WI MicroSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
56001,"Albany County, Wyoming",C2966,"Laramie, WY MicroSA",,
56005,"Campbell County, Wyoming",C2394,"Gillette, WY MicroSA",,
56013,"Fremont County, Wyoming",C4018,"Riverton, WY MicroSA",,
56021,"Laramie County, Wyoming",C1694,"Cheyenne, WY MSA",,
56025,"Natrona County, Wyoming",C1622,"Casper, WY MSA",,
56033,"Sheridan County, Wyoming",C4326,"Sheridan, WY MicroSA",,
56037,"Sweetwater County, Wyoming",C4054,"Rock Springs, WY MicroSA",,
56039,"Teton County, Wyoming",C2722,"Jackson, WY-ID MicroSA",,
56041,"Uinta County, Wyoming",C2174,"Evanston, WY MicroSA",,
72001,"Adjuntas Municipio, Puerto Rico",C1026,"Adjuntas, PR MicroSA",CS434,"Ponce-Coamo-Santa Isabel, PR CSA"
72003,"Aguada Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72005,"Aguadilla Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72007,"Aguas Buenas Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72009,"Aibonito Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72011,"Anasco Municipio, Puerto Rico",C1038,"Aguadilla-Isabela, PR MSA",,
72013,"Arecibo Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72015,"Arroyo Municipio, Puerto Rico",C2502,"Guayama, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72017,"Barceloneta Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
72019,"Barranquitas Municipio, Puerto Rico",C4198,"San Juan-Carolina-Caguas, PR MSA",CS490,"San Juan-Carolina, PR CSA"
